Part,Value,DIS,DPN,MFR,MPN
"C1, C2, C3, C4, C5, C6, C7, C8, C9",9,Digi-Key,445-7400-1-ND,TDK Corporation,C1608C0G1H472J080AA
"C1_H, C1_L",2,Digi-Key,1572-1044-ND,Illinois Capacitor,107CKR050M
"C2_H, C2_L",2,Digi-Key,1292-1438-1-ND,Walsin Technology Corporation,0603B471K500CT
"C3_H, C3_L",2,Digi-Key,399-15683-ND,KEMET,ESH477M050AH4AA
"D1, D2",2,Digi-Key,1N5819GOS-ND,On Semiconductor,1N5819G
IC1,1,Mouser,511-STM32F042K6T6,STMicroelectronics,STM32F042K6T6
"L1, L2",2,Digi-Key,AIUR-06-221K-ND,Abracon LLC,AIUR-06-221K
POE_IN,1,Digi-Key,2092-KLDX-SMT2-0202-ACT-ND,"Kycon, Inc.",KLDX-SMT2-0202-ATR
R1_H,1,Digi-Key,311-3.30KHRCT-ND,Yageo,RC0603FR-073K3L
R1_L,1,Digi-Key,RMCF0603FT4K70CT-ND,Stackpole Electronics Inc,RMCF0603FT4K70
R2_H,1,Digi-Key,A129684CT-ND,TE Connectivity Passive Product,CRGCQ0603F470R
R2_L,1,Digi-Key,RNCP0603FTD2K49CT-ND,Stackpole Electronics Inc,RNCP0603FTD2K49
"R1, R2, R3, R4, R5, R6, R7, R8, R9",9,Digi-Key,RMCF0603FT10K0CT-ND,Stackpole Electronics Inc,RMCF0603FT10K0
"R10, R11, R12, R13",4,,,,
"RS_H, RS_L",2,Digi-Key,P.33AJCT-ND,Panasonic Electronic Components,ERJ-3RQFR33V
"T1, T2, T3, T4",4,Digi-Key,1727-2956-1-ND,Nexperia USA Inc.,"PMBT2222A,215"
"U1, U2",2,Digi-Key,AZ34063UMTR-G1DICT-ND,Diodes Incorporated,AZ34063UMTR-G1
